data_length : 807         min_support_num : 20 
min_support : 2.50%       min_conf : 72.50% 

index  confidence   rules
 210   0.917        ['takeaway', 'wheelchair']=>['opening_hours']
 211   0.917        ['takeaway', 'wheelchair', 'smoking']=>['opening_hours']
 212   0.917        ['takeaway', 'wheelchair']=>['opening_hours', 'smoking']
 213   0.917        ['cuisine', 'takeaway', 'wheelchair']=>['opening_hours']
 214   0.917        ['takeaway', 'wheelchair']=>['cuisine', 'opening_hours']
 215   0.917        ['cuisine', 'takeaway', 'wheelchair', 'smoking']=>['opening_hours']
 216   0.917        ['takeaway', 'wheelchair', 'smoking']=>['cuisine', 'opening_hours']
 217   0.917        ['cuisine', 'takeaway', 'wheelchair']=>['opening_hours', 'smoking']
 218   0.917        ['takeaway', 'wheelchair']=>['cuisine', 'opening_hours', 'smoking']
 219   0.913        ['addr:housenumber']=>['addr:street']
 220   0.912        ['smoking', 'internet_access']=>['cuisine', 'internet_access:fee']
 221   0.909        ['internet_access:fee']=>['opening_hours']
 222   0.909        ['wheelchair']=>['cuisine']
 223   0.909        ['internet_access:fee']=>['cuisine', 'opening_hours']
 224   0.909        ['internet_access:fee']=>['opening_hours', 'smoking']
 225   0.909        ['internet_access:fee', 'internet_access']=>['opening_hours']
 226   0.909        ['internet_access:fee']=>['opening_hours', 'internet_access']
 227   0.909        ['internet_access:fee', 'internet_access']=>['cuisine', 'opening_hours']
 228   0.909        ['internet_access:fee']=>['cuisine', 'opening_hours', 'internet_access']
 229   0.909        ['internet_access:fee', 'internet_access']=>['opening_hours', 'smoking']
 230   0.909        ['internet_access:fee']=>['smoking', 'opening_hours', 'internet_access']
 231   0.909        ['internet_access:fee']=>['cuisine', 'opening_hours', 'smoking']
 232   0.909        ['internet_access:fee', 'internet_access']=>['cuisine', 'opening_hours', 'smoking']
 233   0.909        ['internet_access:fee']=>['cuisine', 'smoking', 'opening_hours', 'internet_access']
 234   0.902        ['takeaway']=>['cuisine']
 235   0.900        ['cuisine', 'wheelchair']=>['opening_hours', 'smoking']
 236   0.897        ['addr:postcode']=>['addr:street']
 237   0.893        ['takeaway', 'opening_hours']=>['cuisine', 'smoking']
 238   0.885        ['cuisine', 'phone', 'addr:street']=>['addr:housenumber']
 239   0.882        ['internet_access', 'smoking']=>['opening_hours']
 240   0.882        ['smoking', 'internet_access']=>['opening_hours', 'internet_access:fee']
 241   0.882        ['internet_access', 'smoking']=>['cuisine', 'opening_hours']
 242   0.882        ['internet_access', 'smoking']=>['cuisine', 'opening_hours', 'internet_access:fee']
 243   0.880        ['phone', 'addr:street']=>['addr:housenumber']
 244   0.880        ['cuisine', 'takeaway', 'opening_hours', 'smoking']=>['wheelchair']
 245   0.864        ['wheelchair']=>['smoking']
 246   0.864        ['wheelchair']=>['cuisine', 'smoking']
 247   0.859        ['cuisine', 'addr:housenumber']=>['addr:street']
 248   0.846        ['takeaway', 'opening_hours', 'smoking']=>['wheelchair']
 249   0.846        ['cuisine', 'takeaway', 'opening_hours']=>['wheelchair']
 250   0.846        ['cuisine', 'takeaway', 'opening_hours']=>['smoking', 'wheelchair']
